stageId,loadout,winRate,avgSec,avgArkHp,star2Rate,star3Rate,avgKills,avgDrafts
1-12,siege_heavy,100.0,166.4,99.7,73.3,0.0,82.9,5.00
1-12,c_only,100.0,131.3,100.0,93.3,56.7,83.0,5.00
1-12,r_only,100.0,128.8,100.0,96.7,70.0,83.0,5.00
1-13,recommended,100.0,130.6,100.0,90.0,63.3,149.0,5.00
1-13,balanced,100.0,134.9,100.0,90.0,33.3,149.0,5.00
1-13,physical_only,100.0,130.5,100.0,90.0,63.3,149.0,5.00
1-13,arcane_heavy,100.0,132.8,100.0,86.7,36.7,149.0,5.00
1-13,holy_heavy,100.0,152.0,81.7,0.0,0.0,144.4,5.00
1-13,no_blocker,100.0,130.4,100.0,93.3,63.3,149.0,5.00
1-13,spam_cheapest,0.0,0.0,0.0,0.0,0.0,23.5,3.00
1-13,all_expensive,0.0,0.0,0.0,0.0,0.0,21.6,3.00
1-13,turtle,0.0,0.0,0.0,0.0,0.0,23.5,3.00
1-13,siege_heavy,90.0,157.0,32.4,0.0,0.0,122.2,4.90
1-13,c_only,96.7,130.1,31.3,76.7,3.3,130.3,4.97
1-13,r_only,100.0,130.3,99.9,90.0,56.7,148.9,5.00
1-14,recommended,100.0,129.5,100.0,96.7,70.0,94.0,5.00
1-14,balanced,100.0,134.7,100.0,83.3,40.0,94.0,5.00
1-14,physical_only,100.0,135.9,100.0,83.3,36.7,94.0,5.00
1-14,arcane_heavy,100.0,136.4,100.0,86.7,30.0,94.0,5.00
1-14,holy_heavy,100.0,165.2,99.3,73.3,3.3,93.9,5.00
1-14,no_blocker,100.0,129.5,99.6,93.3,60.0,93.9,5.00
1-14,spam_cheapest,0.0,0.0,0.0,0.0,0.0,25.5,5.00
1-14,all_expensive,100.0,144.0,89.2,13.3,0.0,91.0,5.00
1-14,turtle,100.0,170.1,100.0,80.0,0.0,94.0,5.00
1-14,siege_heavy,100.0,164.4,96.0,66.7,0.0,93.5,5.00
1-14,c_only,100.0,130.4,100.0,93.3,63.3,94.0,5.00
1-14,r_only,100.0,129.1,97.5,96.7,40.0,93.2,5.00
1-15,recommended,100.0,129.6,96.0,86.7,16.7,88.0,5.00
1-15,balanced,100.0,133.3,100.0,83.3,40.0,89.0,5.00
1-15,physical_only,100.0,130.2,97.1,86.7,13.3,88.3,5.00
1-15,arcane_heavy,100.0,131.6,100.0,93.3,56.7,89.0,5.00
1-15,holy_heavy,100.0,156.6,73.6,3.3,0.0,82.4,5.00
1-15,no_blocker,100.0,128.8,100.0,96.7,70.0,89.0,5.00
1-15,spam_cheapest,0.0,0.0,0.0,0.0,0.0,1.2,4.07
1-15,all_expensive,10.0,146.0,14.7,0.0,0.0,36.2,4.17
1-15,turtle,0.0,0.0,0.0,0.0,0.0,15.3,4.07
1-15,siege_heavy,100.0,174.3,29.5,0.0,0.0,71.4,5.00
1-15,c_only,100.0,129.3,33.5,86.7,0.0,72.4,5.00
1-15,r_only,100.0,128.9,100.0,96.7,73.3,89.0,5.00
1-16,recommended,100.0,130.6,100.0,96.7,60.0,81.0,5.00
1-16,balanced,100.0,132.5,100.0,86.7,50.0,81.0,5.00
1-16,physical_only,100.0,134.1,100.0,83.3,40.0,81.0,5.00
1-16,arcane_heavy,100.0,138.6,100.0,80.0,30.0,81.0,5.00
1-16,holy_heavy,100.0,160.7,99.6,73.3,6.7,80.9,5.00
1-16,no_blocker,100.0,129.3,100.0,96.7,70.0,81.0,5.00
1-16,spam_cheapest,0.0,0.0,0.0,0.0,0.0,2.3,5.00
1-16,all_expensive,100.0,143.4,92.9,40.0,6.7,79.6,5.00
1-16,turtle,100.0,175.5,100.0,80.0,0.0,81.0,5.00
1-16,siege_heavy,80.0,166.6,78.5,33.3,0.0,68.4,5.00
1-16,c_only,100.0,130.3,100.0,96.7,63.3,81.0,5.00
1-16,r_only,100.0,128.8,100.0,96.7,70.0,81.0,5.00
1-17,recommended,100.0,129.6,100.0,93.3,70.0,98.0,5.00
1-17,balanced,100.0,136.2,100.0,86.7,46.7,98.0,5.00
1-17,physical_only,100.0,131.6,100.0,86.7,63.3,98.0,5.00
1-17,arcane_heavy,100.0,131.2,100.0,96.7,63.3,98.0,5.00
1-17,holy_heavy,100.0,156.3,77.3,6.7,0.0,92.3,5.00
1-17,no_blocker,100.0,129.1,99.7,93.3,66.7,97.9,5.00
1-17,spam_cheapest,0.0,0.0,0.0,0.0,0.0,22.5,5.00
1-17,all_expensive,100.0,138.1,7.9,16.7,0.0,74.3,5.00
1-17,turtle,100.0,174.0,16.0,0.0,0.0,77.0,5.00
1-17,siege_heavy,100.0,166.8,43.5,0.0,0.0,83.9,5.00
1-17,c_only,100.0,128.8,60.4,93.3,3.3,88.1,5.00
1-17,r_only,100.0,129.0,100.0,96.7,70.0,98.0,5.00
1-18,recommended,100.0,129.5,100.0,96.7,70.0,104.0,5.00
1-18,balanced,100.0,134.5,100.0,83.3,36.7,104.0,5.00
1-18,physical_only,100.0,132.7,100.0,86.7,50.0,104.0,5.00
1-18,arcane_heavy,100.0,131.7,100.0,90.0,56.7,104.0,5.00
1-18,holy_heavy,100.0,159.3,72.3,3.3,0.0,97.0,5.00
1-18,no_blocker,100.0,129.1,99.2,96.7,43.3,103.6,5.00
1-18,spam_cheapest,0.0,0.0,0.0,0.0,0.0,24.7,5.00
1-18,all_expensive,100.0,138.4,8.8,13.3,0.0,79.4,5.00
1-18,turtle,100.0,177.1,16.0,0.0,0.0,83.0,5.00
1-18,siege_heavy,100.0,168.4,46.8,0.0,0.0,90.7,5.00
1-18,c_only,100.0,129.7,50.1,83.3,3.3,91.5,5.00
1-18,r_only,100.0,128.9,99.4,93.3,50.0,103.7,5.00
1-19,recommended,100.0,138.7,100.0,90.0,53.3,144.0,6.00
1-19,balanced,100.0,140.3,100.0,83.3,40.0,144.0,6.00
1-19,physical_only,100.0,144.8,99.9,76.7,23.3,144.0,6.00
1-19,arcane_heavy,100.0,141.9,100.0,83.3,40.0,144.0,6.00
1-19,holy_heavy,100.0,178.0,49.9,3.3,0.0,131.2,6.00
1-19,no_blocker,100.0,136.8,99.7,90.0,60.0,143.9,6.00
1-19,spam_cheapest,0.0,0.0,0.0,0.0,0.0,19.8,3.07
1-19,all_expensive,0.0,0.0,0.0,0.0,0.0,25.0,3.00
1-19,turtle,0.0,0.0,0.0,0.0,0.0,28.6,3.10
1-19,siege_heavy,63.3,169.5,30.5,0.0,0.0,86.8,5.17
1-19,c_only,96.7,139.8,29.8,53.3,0.0,123.7,5.93
1-19,r_only,100.0,137.0,99.5,86.7,60.0,143.8,6.00
1-20,recommended,100.0,209.4,93.2,10.0,0.0,107.3,6.00
1-20,balanced,100.0,256.7,100.0,80.0,0.0,109.0,6.00
1-20,physical_only,100.0,256.5,92.8,6.7,0.0,107.2,6.00
1-20,arcane_heavy,96.7,234.5,100.0,80.0,0.0,109.0,6.00
1-20,holy_heavy,96.7,296.9,58.8,0.0,0.0,97.5,6.00
1-20,no_blocker,20.0,203.2,100.0,16.7,0.0,108.2,6.00
1-20,spam_cheapest,0.0,0.0,0.0,0.0,0.0,2.2,4.00
1-20,all_expensive,6.7,226.9,4.0,0.0,0.0,41.9,4.17
1-20,turtle,0.0,0.0,0.0,0.0,0.0,17.2,4.00
1-20,siege_heavy,63.3,285.7,14.4,0.0,0.0,73.7,5.87
1-20,c_only,86.7,277.8,23.4,0.0,0.0,88.4,5.93
1-20,r_only,100.0,213.7,100.0,80.0,0.0,109.0,6.00
