stageId,loadout,winRate,avgSec,avgArkHp,star2Rate,star3Rate,avgKills,avgDrafts
1-20,c_only,73.3,296.9,19.6,0.0,0.0,88.4,5.97
1-20,r_only,100.0,224.0,100.0,80.0,0.0,109.0,6.00
2-1,recommended,100.0,130.9,110.0,90.0,60.0,143.0,5.00
2-1,balanced,100.0,131.7,109.3,83.3,40.0,142.8,5.00
2-1,physical_only,100.0,130.8,109.5,86.7,50.0,142.8,5.00
2-1,arcane_heavy,100.0,131.5,110.0,86.7,53.3,143.0,5.00
2-1,holy_heavy,100.0,144.3,104.5,6.7,0.0,141.2,5.00
2-1,no_blocker,100.0,130.8,103.0,70.0,10.0,140.7,5.00
2-1,spam_cheapest,93.3,185.1,66.6,3.3,0.0,123.3,5.00
2-1,all_expensive,100.0,133.7,70.9,33.3,0.0,130.0,5.00
2-1,turtle,100.0,147.3,110.0,80.0,0.0,143.0,5.00
2-1,siege_heavy,100.0,147.0,98.7,23.3,0.0,139.2,5.00
2-1,c_only,100.0,130.8,109.6,86.7,53.3,142.9,5.00
2-1,r_only,100.0,130.8,102.9,70.0,6.7,140.6,5.00
2-2,recommended,100.0,130.1,110.0,96.7,63.3,146.0,5.00
2-2,balanced,100.0,131.9,110.0,93.3,56.7,146.0,5.00
2-2,physical_only,100.0,131.4,110.0,93.3,50.0,146.0,5.00
2-2,arcane_heavy,100.0,131.5,107.7,70.0,13.3,145.3,5.00
2-2,holy_heavy,96.7,143.6,82.9,10.0,0.0,135.2,5.00
2-2,no_blocker,100.0,130.1,108.6,93.3,46.7,145.6,5.00
2-2,spam_cheapest,0.0,0.0,0.0,0.0,0.0,11.7,3.97
2-2,all_expensive,100.0,132.7,73.2,50.0,0.0,135.4,5.00
2-2,turtle,100.0,145.3,105.6,56.7,0.0,144.8,5.00
2-2,siege_heavy,100.0,144.7,84.6,6.7,0.0,139.0,5.00
2-2,c_only,100.0,130.5,110.0,93.3,60.0,146.0,5.00
2-2,r_only,100.0,130.1,109.9,93.3,63.3,146.0,5.00
2-3,recommended,100.0,136.1,110.0,90.0,70.0,145.0,6.00
2-3,balanced,100.0,137.6,110.0,86.7,70.0,145.0,6.00
2-3,physical_only,100.0,136.6,110.0,90.0,63.3,145.0,6.00
2-3,arcane_heavy,100.0,138.4,110.0,83.3,56.7,145.0,6.00
2-3,holy_heavy,100.0,150.7,93.1,16.7,0.0,139.9,6.00
2-3,no_blocker,100.0,136.3,104.6,86.7,3.3,143.2,6.00
2-3,spam_cheapest,0.0,0.0,0.0,0.0,0.0,27.6,5.20
2-3,all_expensive,100.0,140.6,79.1,33.3,0.0,134.8,6.00
2-3,turtle,100.0,151.7,110.0,80.0,0.0,145.0,6.00
2-3,siege_heavy,100.0,151.0,107.5,66.7,3.3,144.3,6.00
2-3,c_only,100.0,136.2,110.0,90.0,70.0,145.0,6.00
2-3,r_only,100.0,136.0,110.0,90.0,73.3,145.0,6.00
2-4,recommended,100.0,136.8,110.0,86.7,70.0,138.0,6.00
2-4,balanced,100.0,140.8,110.0,83.3,50.0,138.0,6.00
2-4,physical_only,100.0,138.3,107.7,80.0,46.7,137.7,6.00
2-4,arcane_heavy,100.0,140.8,108.2,70.0,40.0,137.4,6.00
2-4,holy_heavy,90.0,154.5,74.3,10.0,3.3,125.2,5.90
2-4,no_blocker,100.0,136.4,66.2,80.0,0.0,133.1,6.00
2-4,spam_cheapest,13.3,201.1,86.8,3.3,0.0,56.7,5.20
2-4,all_expensive,30.0,138.7,19.7,16.7,0.0,51.3,3.53
2-4,turtle,86.7,152.9,77.8,13.3,0.0,122.0,5.83
2-4,siege_heavy,93.3,150.9,95.6,46.7,3.3,130.5,5.93
2-4,c_only,100.0,137.7,109.3,83.3,50.0,137.8,6.00
2-4,r_only,100.0,136.5,91.8,76.7,6.7,135.3,6.00
2-5,recommended,100.0,137.6,110.0,90.0,63.3,110.0,6.00
2-5,balanced,100.0,143.0,110.0,86.7,23.3,110.0,6.00
2-5,physical_only,100.0,142.4,110.0,80.0,30.0,110.0,6.00
2-5,arcane_heavy,100.0,149.9,110.0,80.0,0.0,110.0,6.00
2-5,holy_heavy,93.3,163.2,87.1,6.7,0.0,101.8,5.97
2-5,no_blocker,100.0,135.9,108.5,90.0,36.7,109.6,6.00
2-5,spam_cheapest,0.0,0.0,0.0,0.0,0.0,5.3,3.83
2-5,all_expensive,100.0,141.0,83.5,33.3,0.0,104.0,6.00
2-5,turtle,100.0,169.4,108.6,73.3,0.0,109.9,6.00
2-5,siege_heavy,100.0,156.5,87.7,3.3,0.0,105.4,6.00
2-5,c_only,100.0,140.1,110.0,80.0,46.7,110.0,6.00
2-5,r_only,100.0,136.5,104.8,86.7,13.3,108.7,6.00
2-6,recommended,100.0,138.1,110.0,86.7,56.7,126.0,6.00
2-6,balanced,100.0,141.1,110.0,83.3,33.3,126.0,6.00
2-6,physical_only,100.0,141.0,108.7,70.0,23.3,125.6,6.00
2-6,arcane_heavy,100.0,140.5,110.0,83.3,43.3,126.0,6.00
2-6,holy_heavy,80.0,159.9,74.4,10.0,3.3,105.0,5.80
